22	cunt
21	fuck
20	shit
18	pussy
16	twat
16	piss
16	nigger
16	cum
16	cock
15	faggot
15	bastard
15	asshole
14	prick
14	cocksucker
13	whore
13	slut
13	queer
13	fucker
13	fart
13	clit
12	spic
12	gangbang
12	fucking
12	dildo
12	blowjob
12	bitch
11	nigga
11	motherfucker
11	jizz
11	fucked
11	fag
11	dick
11	crap
11	asswipe
10	turd
10	tits
10	kike
10	homo
10	hell
10	fellatio
10	bullshit
10	boner
10	ass
9	tit
9	spunk
9	pissed
9	pecker
9	damn
9	coon
9	assholes
9	arse
8	wank
8	vagina
8	snatch
8	shitty
8	shitting
8	shits
8	shithead
8	screw
8	quim
8	pussies
8	penis
8	motherfucking
8	lesbo
8	goddamn
8	fuk
8	fucks
8	dyke
8	dickhead
8	cunts
8	cunnilingus
7	wop
7	twats
7	shitter
7	queef
7	porn
7	pisser
7	muff
7	motherfuckers
7	mothafucka
7	jism
7	honkey
7	gook
7	gay
7	fuckin
7	fuckers
7	feltch
7	dong
7	bugger
7	blow job
6	wetback
6	wanker
6	skank
6	rectum
6	phuk
6	orgasm
6	niggers
6	motherfuck
6	lesbian
6	horny
6	hardon
6	hard on
6	fudgepacker
6	farts
6	fags
6	cocksucking
6	clitoris
6	chink
6	blowjobs
6	anus
6	anal
5	sluts
5	shitted
5	shitstain
5	shiting
5	scrotum
5	schlong
5	rimjob
5	retard
5	rape
5	prostitute
5	porno
5	pissing
5	pisses
5	pissers
5	phuck
5	nazi
5	muthafucka
5	motherfucks
5	motherfucked
5	mothafucks
5	mothafucking
5	mothafuckers
5	mothafucker
5	mothafuck
5	mick
5	kunt
5	jackass
5	fuks
5	fuckup
5	felch
5	farting
5	farted
5	ejaculate
5	dumbfuck
5	dipshit
5	dink
5	darky
5	cumming
5	cocks
5	butthead
5	buttfucker
5	bitches
5	biatch
5	beastiality
5	assfuck
5	arsehole
4	yid
4	wog
4	tosser
4	titties
4	testicle
4	suck
4	spick
4	sodomy
4	smut
4	shitters
4	shithouse
4	shitfaced
4	shitface
4	shited
4	shag
4	sh!t
4	sex
4	rim job
4	puto
4	pricks
4	porchmonkey
4	porch monkey
4	pissoff
4	piss off
4	pimp
4	orgasms
4	orgasim
4	murder
4	minge
4	masturbate
4	lust
4	lezzie
4	kyke
4	kum
4	kraut
4	knob
4	kkk
4	jungle bunny
4	jizm
4	jiz
4	jerk off
4	jap
4	jack off
4	hooker
4	handjob
4	gangbangs
4	fukk
4	fuckwit
4	fuckme
4	fuckhead
4	frigging
4	fistfucker
4	fistfuck
4	fingerfucker
4	fingerfuck
4	feltching
4	fcuk
4	fatass
4	farty
4	fanny
4	fagot
4	ejaculation
4	ejaculating
4	dumbass
4	douchebag
4	douche
4	dork
4	dike
4	dickwad
4	dicks
4	darkie
4	dago
4	cuntlicker
4	cumshot
4	cums
4	crapper
4	cracker
4	cornhole
4	cocksucked
4	cocksuck
4	bunghole
4	bollocks
4	bitchin
4	bestiality
4	balls
4	ball
4	asses
3	xxx
3	wanks
3	wanking
3	wankers
3	wanked
3	vibrator
3	trick
3	titty
3	titfuck
3	sperm
3	son of a bitch
3	sixtynine
3	shiz
3	shity
3	shittings
3	shittiest
3	shitings
3	shitfull
3	shirtlifter
3	shemale
3	semen
3	satan
3	rimming
3	redneck
3	puta
3	pusy
3	pussys
3	pusse
3	pr1ck
3	pornos
3	pornography
3	poopshoot
3	poop
3	poontang
3	poofter
3	poofs
3	pocket pool
3	pissin
3	pissflaps
3	pillow biter
3	phuq
3	phuks
3	phukking
3	phukked
3	phuking
3	phuked
3	phonesex
3	peckerhead
3	pearl necklace
3	paki
3	orgy
3	orgasims
3	nooner
3	nonce
3	nipple
3	niggaz
3	niger
