@Cushman		@bigstein 
@JPeterman	@ElaineBenes   
@Pam		@cosmo         
@Puddy		@jerry         
@Ronnie		@jerry         
@bania		@jerry         
@bigstein	@cushman       
@cosmo		@Bob_Sacamano  
@cosmo		@dean_jones    
@cosmo		@jerry         
@cosmo		@pam           
@costanza81	@ElaineBenes   
@costanza81	@JonVoight     
@costanza81	@RobertWagner  
@costanza81	@bigstein      
@costanza81	@bubble_boy    
@costanza81	@cushman       
@costanza81	@guitarbern    
@costanza81	@intangibles
@costanza81	@intangibles   
@costanza81	@jerry         
@dean_jones	@cosmo         
@elainebenes	@jerry
@elainebenes	@jerry         
@guitarbern	@costanza81    
@intangibles	@costanza81    
@jerry		@AvisRental    
@jerry		@Puddy         
@jerry		@cosmo         
@jerry		@costanza81    
@jerry		@elainebenes   
@jerry		@jerry         
@jerry		@ronnie        
@jerry		@thementee     
@thementee	@jerry         
