costanza81	WandaPepper	0
jerry	The_Soup_Nazi	0
Allison	costanza81	1
THE_REAL_PUDDY	kramer	1
TinaRobbins	ElaineBenes	0
ElaineBenes	jerry	1
Russell_Dalrymple	jerry	1
Alec_Berg	jerry	1
JackKlompus	Izzy_Mandelbaum	0
CrazyJoeDavola	ElaineBenes	1
Lomez	Bob_Sacamano	0
DrTimWhatley	ElaineBenes	1
jerry	Noreen	0
Feldman	Vargas	1
Bob_Sacamano	LenNicademo	1
bubble_boy	jerry	1
costanza81	SusanRoss	0
RobertKennedyJr	MrPitt	0
ElaineBenes	Gene	1
costanza81	Mickey_Abbott	0
THE_REAL_PUDDY	FRANKCOSTANZA	0
FRANKCOSTANZA	EstelleC	0
jerry	ArtVandelay	0
jerry	MortySeinfeld	0
ArtVandelay	Kel_Varnsen	1
NewmanUSPS	Jackie_Chiles	0
Cousin_Jeffrey	UncleLEO	1
BabuBhatt	kramer	1
CorkyRamirez	Lomez	1
ElaineBenes	RobertKennedyJr	0
Brody	LenNicademo	1
kramer	CorkyRamirez	0
THE_REAL_PUDDY	jerry	1
Gene	Kevin	1
MortySeinfeld	HelenSeinfeld	0
Babs_Kramer	kramer	1
ElaineBenes	costanza81	1
Izzy_Mandelbaum	UncleLEO	1
NedIsakoff	ElaineBenes	0
Russell_Dalrymple	SusanRoss	1
MortySeinfeld	UncleLEO	1
THE_REAL_PUDDY	The_Soup_Nazi	0
MartinvanNostrand	Kel_Varnsen	0
MortySeinfeld	JackKlompus	0
bigstein	cushman	1
kramer	Jackie_Chiles	0
kramer	Bob_Sacamano	0
Brody	kramer	1
Cousin_Jeffrey	Nana	0
jerry	BabuBhatt	0
Bob_Cobb	FRANKCOSTANZA	1
NewmanUSPS	Mickey_Abbott	0
jerry	bania	0
MrandMrsRoss	SusanRoss	1
CrazyJoeDavola	jerry	0
Rachel_Goldstein	jerry	1
jerry	Dolores	0
Brody	JayRiemenschneider	1
TheDrake	jerry	1
kramer	assman	0
jerry	Alec_Berg	0
kramer	NewmanUSPS	0
jerry	MartinvanNostrand	0
SusanRoss	jerry	1
costanza81	jerry	1
FRANKCOSTANZA	kramer	1
DrTimWhatley	costanza81	1
WyckThayer	costanza81	0
jerry	JPeterman	0
costanza81	ElaineBenes	0
jerry	FRANKCOSTANZA	0
JPeterman	kramer	1
costanza81	NewmanUSPS	0
Noreen	kramer	1
kramer	FranklinDelanoRomanowski	0
NewmanUSPS	jerry	1
kramer	Brody	0
jerry	Mickey_Abbott	0
Earl_Haffler	MikeMoffit	0
NewmanUSPS	The_Soup_Nazi	0
jerry	Izzy_Mandelbaum	0
EstelleC	Lloyd_Braun	1
kramer	HEPennypacker	0
costanza81	DrTimWhatley	0
MikeMoffit	kramer	1
Sue_Ellen_Mischke	RobertKennedyJr	0
bania	The_Soup_Nazi	0
JayRiemenschneider	Bob_Sacamano	0
ElaineBenes	Sue_Ellen_Mischke	1
DrTimWhatley	jerry	1
Brody	Lomez	1
Kevin	ElaineBenes	0
MortySeinfeld	Nana	1
SallyWeaver	MrandMrsRoss	0
DrTimWhatley	MartinvanNostrand	0
WandaPepper	MartinvanNostrand	0
CorkyRamirez	kramer	1
costanza81	cushman	0
Kevin	Gene	0
NewmanUSPS	THE_REAL_PUDDY	1
SusanRoss	Russell_Dalrymple	0
TiaVanCamp	jerry	1
ElaineBenes	HEPennypacker	0
Cousin_Jeffrey	jerry	0
FRANKCOSTANZA	jerry	1
jerry	Shaky_the_Mohel	0
costanza81	LindsayEnright	0
ElaineBenes	JoeMayo	1
kramer	jerry	0
THE_REAL_PUDDY	NewmanUSPS	0
Shaky_the_Mohel	kramer	1
NewmanUSPS	kramer	1
Stan_the_Caddy	Jackie_Chiles	0
jerry	HelenSeinfeld	0
bigstein	guitarbern	1
Lomez	LenNicademo	0
JoeMayo	THE_REAL_PUDDY	1
Joel_Rifkin	ElaineBenes	0
costanza81	CrazyJoeDavola	0
MortySeinfeld	Izzy_Mandelbaum	0
TinaRobbins	kramer	1
jerry	TiaVanCamp	0
Izzy_Mandelbaum	JackKlompus	1
NewmanUSPS	Babs_Kramer	0
UncleLEO	Izzy_Mandelbaum	0
Lomez	kramer	1
guitarbern	bigstein	0
UncleLEO	Cousin_Jeffrey	0
Lomez	CorkyRamirez	0
Carl_Farbman	JPeterman	1
NewmanUSPS	JPeterman	0
EstelleC	costanza81	1
LenNicademo	Lomez	1
Specter	kramer	1
FusilliJerry	costanza81	0
jerry	Sheila	0
jerry	superman	0
Brody	Specter	0
kramer	ArtVandelay	0
CrazyJoeDavola	THE_REAL_PUDDY	1
TheDrake	ElaineBenes	0
FRANKCOSTANZA	Lloyd_Braun	1
Jackie_Chiles	NewmanUSPS	1
ElaineBenes	MrKruger	0
MortySeinfeld	kramer	1
costanza81	The_Soup_Nazi	0
HEPennypacker	Kel_Varnsen	1
jerry	Sandy	0
kramer	Sue_Ellen_Mischke	0
kramer	WandaPepper	0
jerry	HEPennypacker	0
Jackie_Chiles	kramer	1
kramer	Noreen	0
guitarbern	intangibles	0
EstelleC	kramer	1
TheDrake	kramer	1
SallyWeaver	SusanRoss	1
MortySeinfeld	Cousin_Jeffrey	0
FusilliJerry	jerry	1
cushman	bigstein	0
THE_REAL_PUDDY	ElaineBenes	0
CrazyJoeDavola	kramer	1
kramer	MissRhodeIsland	0
MrKruger	costanza81	1
costanza81	Pastrami	0
NewmanUSPS	ElaineBenes	0
CorkyRamirez	Brody	0
Bob_Sacamano	Brody	1
Laura	Sandy	0
kramer	MrWilhelm	0
Nana	UncleLEO	1
Jake_Jarmel	ElaineBenes	0
Kevin	Vargas	1
costanza81	bubble_boy	0
Vargas	Gene	0
costanza81	marisa_tomei	0
Bob_Sacamano	CorkyRamirez	1
costanza81	HEPennypacker	0
NewmanUSPS	TheDrake	0
jerry	meryl	1
ArtVandelay	MartinvanNostrand	1
CorkyRamirez	Bob_Sacamano	0
ArtVandelay	HEPennypacker	1
costanza81	Kel_Varnsen	0
costanza81	kramer	1
jerry	SusanRoss	0
MikeMoffit	jerry	0
Vargas	Kevin	0
Kel_Varnsen	MartinvanNostrand	1
JayRiemenschneider	Brody	0
DrTimWhatley	assman	1
ElaineBenes	Poppie	1
jerry	Russell_Dalrymple	0
jerry	Nana	0
ElaineBenes	MartinvanNostrand	0
THE_REAL_PUDDY	CrazyJoeDavola	0
NewmanUSPS	costanza81	1
ElaineBenes	Jack_The_Wiz	1
costanza81	MrandMrsRoss	0
ElaineBenes	Feldman	1
JoeMayo	jerry	1
WandaPepper	ArtVandelay	0
kramer	costanza81	0
kramer	Babs_Kramer	0
Babs_Kramer	UncleLEO	1
ElaineBenes	MrLippman	0
kramer	JPeterman	0
Cousin_Jeffrey	MortySeinfeld	1
kramer	THE_REAL_PUDDY	0
Lloyd_Braun	FRANKCOSTANZA	0
JayRiemenschneider	kramer	1
HEPennypacker	WandaPepper	1
costanza81	JPeterman	0
MrandMrsRoss	WyckThayer	1
Milos	jerry	1
MartinvanNostrand	HEPennypacker	0
ElaineBenes	Carl_Farbman	0
Vargas	ElaineBenes	0
JackKlompus	MortySeinfeld	1
JPeterman	Carl_Farbman	0
CrazyJoeDavola	costanza81	1
costanza81	MrKruger	0
jerry	Sue_Ellen_Mischke	0
kramer	Earl_Haffler	0
costanza81	bania	0
Sue_Ellen_Mischke	ElaineBenes	0
ElaineBenes	kramer	1
jerry	pez	0
costanza81	THE_REAL_PUDDY	0
kramer	MortySeinfeld	0
ElaineBenes	HalKitzmiller	1
costanza81	TheDrake	0
jerry	MissRhodeIsland	0
Mickey_Abbott	NewmanUSPS	1
costanza81	guitarbern	0
ElaineBenes	CrazyJoeDavola	0
Mickey_Abbott	costanza81	1
Sheila	jerry	1
EstelleC	FRANKCOSTANZA	1
Nana	MortySeinfeld	0
jerry	kramer	1
CorkyRamirez	Specter	1
ElaineBenes	The_Soup_Nazi	0
Poppie	ElaineBenes	0
jerry	FragileFrankieMerman	0
costanza81	Allison	0
LenNicademo	kramer	1
Jack_The_Wiz	ElaineBenes	0
Jackie_Chiles	JPeterman	0
JPeterman	MrPitt	1
Specter	CorkyRamirez	0
Darryl	ElaineBenes	0
JayRiemenschneider	CorkyRamirez	0
bigstein	intangibles	1
Specter	Bob_Sacamano	0
Kel_Varnsen	HEPennypacker	0
kramer	Mickey_Abbott	0
Kel_Varnsen	ArtVandelay	0
WyckThayer	MrandMrsRoss	0
MelissaFlyingFree	jerry	1
TheDrake	costanza81	1
JPeterman	RobertKennedyJr	1
DrTimWhatley	kramer	1
SusanRoss	MrandMrsRoss	0
Sandy	jerry	1
UncleLEO	jerry	1
jerry	ElaineBenes	0
ElaineBenes	Kevin	1
jerry	UncleLEO	0
Mickey_Abbott	jerry	1
kramer	FRANKCOSTANZA	0
Izzy_Mandelbaum	jerry	1
JayRiemenschneider	Lomez	1
Feldman	ElaineBenes	0
JPeterman	Jackie_Chiles	1
ElaineBenes	MrPitt	0
THE_REAL_PUDDY	costanza81	1
bania	Poppie	0
costanza81	intangibles	0
ElaineBenes	DrTimWhatley	0
LenNicademo	CorkyRamirez	0
LindsayEnright	costanza81	1
CrazyJoeDavola	NewmanUSPS	1
FragileFrankieMerman	jerry	1
Kevin	Feldman	0
kramer	Lomez	0
WyckThayer	SusanRoss	0
costanza81	StankyHanke	0
kramer	Specter	0
jerry	bubble_boy	0
jerry	TheDrake	0
jerry	Laura	0
LenNicademo	Bob_Sacamano	0
ElaineBenes	ArtVandelay	0
Bob_Sacamano	Specter	1
costanza81	EstelleC	0
kramer	Bob_Cobb	0
costanza81	bigstein	0
Bob_Sacamano	kramer	1
MartinvanNostrand	WandaPepper	1
jerry	WandaPepper	0
kramer	TinaRobbins	0
jerry	Kel_Varnsen	0
JoeMayo	ElaineBenes	0
ArtVandelay	WandaPepper	1
ElaineBenes	JPeterman	0
UncleLEO	HelenSeinfeld	0
kramer	TheDrake	0
FusilliJerry	FRANKCOSTANZA	0
MarlatheVirgin	jerry	1
jerry	Rachel_Goldstein	0
kramer	BabuBhatt	0
Brody	Bob_Sacamano	0
THE_REAL_PUDDY	JoeMayo	0
CorkyRamirez	JayRiemenschneider	1
jerry	Milos	0
Lomez	Brody	0
HalKitzmiller	kramer	1
jerry	FusilliJerry	0
Sue_Ellen_Mischke	jerry	1
Mickey_Abbott	kramer	1
NewmanUSPS	CrazyJoeDavola	0
kramer	MikeMoffit	0
WandaPepper	HEPennypacker	0
Laura	jerry	1
kramer	Stan_the_Caddy	0
kramer	Shaky_the_Mohel	0
Gene	Vargas	1
RobertKennedyJr	JPeterman	0
jerry	NewmanUSPS	0
kramer	SalBass	0
jerry	DrTimWhatley	0
FusilliJerry	kramer	1
Feldman	Kevin	1
ElaineBenes	TinaRobbins	1
Kel_Varnsen	WandaPepper	1
MatthewSeinfeldFan	jerry	0
costanza81	FragileFrankieMerman	0
Gene	Feldman	0
SusanRoss	SallyWeaver	0
costanza81	JonVoight	0
Lomez	JayRiemenschneider	0
kramer	MartinvanNostrand	0
Izzy_Mandelbaum	MortySeinfeld	1
MarlatheVirgin	RobertKennedyJr	1
Vargas	Feldman	0
ElaineBenes	TheDrake	1
jerry	Poppie	0
kramer	DrTimWhatley	0
jerry	JoeMayo	0
jerry	MelissaFlyingFree	0
RobertKennedyJr	MarlatheVirgin	0
WandaPepper	Kel_Varnsen	0
Poppie	kramer	1
costanza81	FRANKCOSTANZA	0
costanza81	JoeMayo	0
