barack obama	20070507031825:barack obama	tweet	52673432	20070507031825	5447242	emzanotti						Not everyone is my twitter friend, but everyone is Barack Obama&apos;s twitter friend. Barack is kind of mediocre. Sad.	web
george bush	20070507142302:george bush	tweet	53308332	20070507142302	364	graysky						In DC drove by  George Bush Center for Intelligence. Ha! Must be named for 41.	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
t little	20070507160456:t little	tweet	53444522	20070507160456	5433422	plurpman						Noticing that she&apos;s typing again, at least a little, and thinking that might be a good thing.	web
john lewis	20070507164938:john lewis	tweet	53498022	20070507164938	27593	zzgavin						Lucy got a free wireless mighty mouse from John Lewis with her new MacBook	web
sam brownback	20070507200416:sam brownback	tweet	53712912	20070507200416	5507152	SamBrownback						Brontosaurus Pitifulis: Rudy Giuliani, John McCain, Mike Huckabee, Sam Brownback, Jim Gilmore, Dunca.. http://tinyurl.com/3ae5m6	<a href="http://twitterfeed.com">twitterfeed</a>
arnold schwarzenegger	20070509214615:arnold schwarzenegger	tweet	57773642	20070509214615	3043001	Bagadonuts						Re:&quot;Terminator 2&quot; Arnold Schwarzenegger&apos;s $15 million salary and total of 700 words of dialogue translates to $21,429 per word.	web
john boehner	20070511151501:john boehner	tweet	60256392	20070511151501	640893	ewerickson						http://tinyurl.com/3ccc2j &amp;lt;http://tinyurl.com/3ccc2j&amp;gt; &#10;Call John Boehner at (202) 225-4000 and tell him the House GOP will get no supp	im
ken calvert	20070513155526:ken calvert	tweet	62701952	20070513155526	640893	ewerickson						Getting the names and addresses of top indistrict donors to GOP Steering Cmte. Members.  We&apos;re going to send them all Ken Calvert&apos;s file.	web
sam brownback	20070514140730:sam brownback	tweet	63736642	20070514140730	5507152	SamBrownback						Brownback Claims Seeing Something Bad Makes A Bad Judge: Even if you agree with Sam Brownback&rsquo;s extr.. http://tinyurl.com/39t7vd	<a href="http://twitterfeed.com">twitterfeed</a>
alexander hamilton	20070515014430:alexander hamilton	tweet	64407772	20070515014430	652	kohtz						Listening to a PBS special about Alexander Hamilton, my favorite revolutionary figure, while I eat.	web
e weeks	20070515172931:e weeks	tweet	65124482	20070515172931	795837	Patorama						Back at work, feels like I just left work, going to be one of those weeks.	web
tommy thompson	20070516010802:tommy thompson	tweet	65555992	20070516010802	5610072	ChrisShort						Tommy thompson has big ears	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
michael nutter	20070516031504:michael nutter	tweet	65690582	20070516031504	2285491	BenFeldman						Michael Nutter won! :D	web
ron paul	20070516062032:ron paul	tweet	65843652	20070516062032	3210141	bamapachyderm						God, I despise Ron Paul.  That batshit nutcase has no business in the GOP debates, no more than Ross Perot would have had.	web
d davis	20070519003112:d davis	tweet	69421152	20070519003112	1308071	iamruinous						Going to old town pizza near 2nd and davis	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
david harrington	20070519060227:david harrington	tweet	69724322	20070519060227	3112501	LangersBlog						cormac harrington: A hello and welcome to the world to my new cousin Cormac David Harrington.Cormac, .. http://tinyurl.com/2pcflh	<a href="http://twitterfeed.com">twitterfeed</a>
jimmy carter	20070521074057:jimmy carter	tweet	72159352	20070521074057	742143	bbcworld						The White House dismisses sharp criticism of George W Bush by former US President Jimmy Carter. http://tinyurl.com/2337hs	<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>
e weeks	20070521085212:e weeks	tweet	72217012	20070521085212	4423111	stimpson						Having at least one happy thing today, being: finding out i&apos;ve not put on weight despite 2 weeks vacationing and not gymming. Yay.	web
rick santorum	20070524235052:rick santorum	tweet	77191432	20070524235052	4376851	3liza						Santorum &Auml;noun, from Dan Savage&Ntilde; A frothy mixture of lube and fecal matter that results from anal sex.  Named after Senator Rick Santorum.	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
barack obama	20070525224446:barack obama	tweet	78554972	20070525224446	3245291	brinstar						No WAY. Barack Obama is on Twitter. Wow.	<a href="http://apps.facebook.com/twitter/">Facebook</a>
george bush	20070528200514:george bush	tweet	81709092	20070528200514	6384892	Spielkind						Sylvester Stallone ist am selben Tag geboren wie George W Bush	web
mitch mcconnell	20070530032546:mitch mcconnell	tweet	83462242	20070530032546	4091471	edsops						Sound bite: &quot;We are going in a different direction in the fall, and I expect the president to lead it.&quot; Sen Mitch McConnell	web
jerry springer	20070530230228:jerry springer	tweet	84579402	20070530230228	6456102	sam0626						Lying in bed on my laptop watchin Jerry Springer...really tired zzzzzzzzzzzzzzzzz	web
john edwards	20070531000755:john edwards	tweet	84639892	20070531000755	2730471	crazybob						Missing John Edwards at Google because I&apos;m in Beijing!	web
tom tancredo	20070531150234:tom tancredo	tweet	85507642	20070531150234	5507152	SamBrownback						Brownback clarifies: Sam Brownback of Kansas, Rep. Tom Tancredo of Colorado and Gov. Mike Huckabee o.. http://tinyurl.com/3e5zdd	<a href="http://twitterfeed.com">twitterfeed</a>
karl rove	20070604170613:karl rove	tweet	90815602	20070604170613	991221	bloggersblog						He&apos;s MC Rove @karlrove For those not familiar with that reference see Karl Rove&apos;s rap: http://urltea.com/p22	web
tom delay	20070604233517:tom delay	tweet	91165042	20070604233517	5482152	demcorruption						COMPARE: Pelosi after TOM DELAY&apos;S Indictment vs. Pelosi after WILLIAM JEFFERSON&apos;S indictment: http://urltea.com/p4p	web
john edwards	20070605090158:john edwards	tweet	91614622	20070605090158	5507152	SamBrownback						MOREN ON THE TREACHERY OF NOAM CHOMSKY (article 4...: John Edwards, Mitt Romney, Joe Biden, Bill Ric.. http://tinyurl.com/397hkq	<a href="http://twitterfeed.com">twitterfeed</a>
william jefferson	20070605235943:william jefferson	tweet	92586332	20070605235943	5482152	demcorruption						CofC BLOG: Press Release: William Jefferson Indictment http://tinyurl.com/2cebsf	<a href="http://twitterfeed.com">twitterfeed</a>
john williams	20070606195159:john williams	tweet	93755712	20070606195159	755031	clunkclunk		13203	kristn		93750362	@kpishdadi: and I also didn&apos;t want it to sell out, because chances are I won&apos;t be able to see John Williams again in my lifetime	<a href="http://iconfactory.com/software/twitterrific">twitterrific</a>
john milton	20070606231257:john milton	tweet	93948822	20070606231257	682333	Fausta						None can love freedom heartily, but good men; the rest love not freedom, but license. &#13;&#10;- John Milton	web
daniel ramirez	20070607212723:daniel ramirez	tweet	95073872	20070607212723	6573302	lubbockonline						Daniel Ramirez strikes out on a curveball to start the bottom of the first, but Cory Jones then draws a four-pitch walk with one out.	web
john stewart	20070608180040:john stewart	tweet	96315032	20070608180040	3198771	digg_all						John Stewart breaks down te GOP &quot;debate&quot;, and rips em a new one too : http://tinyurl.com/398fvg	web
bob dole	20070609195544:bob dole	tweet	97626422	20070609195544	687363	ddura						Just landed at Dulles and bumped into Bob Dole.	<a href="http://twitterhelp.blogspot.com/2008/05/twitter-via-mobile-web-mtwittercom.html">mobile web</a>
t little	20070609212451:t little	tweet	97694002	20070609212451	6702982	margelov						Eating fondue with a friend in Zhst. Good but little!	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
matt dunne	20070610171229:matt dunne	tweet	98646102	20070610171229	9080	ahynes1						Listening to Matt Dunne talk about Service Politics at DemocracyFest.  Very good session.	web
colin powell	20070610203523:colin powell	tweet	98823402	20070610203523	3198771	digg_all						(Video) Colin Powell: Close Guantanamo Now, Restore Habeas : http://tinyurl.com/3cfko8	web
e weeks	20070611001026:e weeks	tweet	98996502	20070611001026	4189231	tendrel		186423	sMoRTy71		98991952	@smorty71 and here is me proud of a 95 on freebird on easy (after not playing for a couple weeks too) and 96 on carry me home (easy again)	web
colin powell	20070611073520:colin powell	tweet	99427972	20070611073520	3198771	digg_all						Colin Powell: Get rid of Gitmo and restore Habeas Corpus : http://tinyurl.com/2kh7hj	web
e weeks	20070612051451:e weeks	tweet	100912182	20070612051451	6428642	wickersty						Well, crashing at the bosses house. Only took there weeks. Deee runk!	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
condoleezza rice	20070614065138:condoleezza rice	tweet	103908672	20070614065138	1992351	krisnair						Condoleezza Rice or Fake Steve Job effect? Interesting people http://twitter.com/condi	web
ron paul	20070614175127:ron paul	tweet	104603622	20070614175127	640893	ewerickson		5447242	emzanotti		104602552	@emzanotti: Okay, fair point.  Ron Paul: Our Uncle Fester.	<a href="http://iconfactory.com/software/twitterrific">twitterrific</a>
t little	20070615012107:t little	tweet	105032462	20070615012107	5886872	acupoftea						Just left Little Giant. Tried to put on lipgloss without a mirror and had to shout &quot;where&apos;s my lip?&quot;	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
dick cheney	20070627204456:dick cheney	tweet	123583632	20070627204456	6954812	magicrabbit						Dick Cheney&apos;s office was subpoenaed!!! (Along with the white house)	web
paul simon	20070628031655:paul simon	tweet	124032342	20070628031655	1827321	venomouskate						Since  PBS is running a Paul Simon retrospective I&apos;m almost willing to forgive their tacpayer-funded liberal-biased censorship. Almost.	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
t little	20070707004307:t little	tweet	137984772	20070707004307	1668	gustaf						drinking lots of water. trying to stay sharp for just a little longer. (also realizing this is a typical twitter-geek-post...:)	web
lia roberts	20070707082815:lia roberts	tweet	138405832	20070707082815	1427371	airboy808						watching the mexican with julia roberts and brad pitt	web
paul simon	20070707143341:paul simon	tweet	138724282	20070707143341	3913931	chrisdodd						DODD: On our way to events with Paul Simon in Carroll &amp; Council Bluffs, Iowa	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
bill clinton	20070707205449:bill clinton	tweet	139109042	20070707205449	586	sacca						Bill Clinton only gets better.	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
e weeks	20070708040524:e weeks	tweet	139483232	20070708040524	1397441	shatch						Just finished watching the prolog of Le Tour de France (recorded)... Cancellara was amazingly fast. Excited for the next three weeks!	<a href="http://apps.facebook.com/twitter/">Facebook</a>
bill bradley	20070709162600:bill bradley	tweet	141611772	20070709162600	5938002	phildixon						I heard an interview with Bill Bradley and Alan Simpson.  I was impressed with both of them.  They are pro public campaign finance reform.	web
al gore	20070709201511:al gore	tweet	141880222	20070709201511	5653212	virtualworlds						Holographic Al Gore. Al Gore beams in his virtual presence to kick off Live Earth in Tokyo http://tinyurl.com/3y8gs2	web
e weeks	20070709224818:e weeks	tweet	142050162	20070709224818	741313	christiw						So I ducked today, but what about the days and the weeks to come?	web
john barrow	20070710012146:john barrow	tweet	142188962	20070710012146	7095362	dorianwright						Also, I need a John Barrowman to go with my David Tennant. Though the John Barrowman figure should be 10 inches I hear. Hey-o!	web
al green	20070710063100:al green	tweet	142523902	20070710063100	8584	Megan						Enjoying the Al Green selection at Rudy&apos;s. Not enjoying my phone&apos;s connectivity issues or just how LOUDLY some people slam down dice cups.	web
ron paul	20070710164455:ron paul	tweet	143278152	20070710164455	640893	ewerickson						conducting my interview with Ron Paul.	<a href="http://iconfactory.com/software/twitterrific">twitterrific</a>
clint eastwood	20070711040632:clint eastwood	tweet	144093292	20070711040632	5792042	twisted_silly						Woot woot!  pictures just popped up on our screen....Did u know that Clint Eastwood once worked as a lumberjack n Oregan?	<a href="http://help.twitter.com/index.php?pg=kb.page&id=75">txt</a>
joe biden	20070711051112:joe biden	tweet	144168122	20070711051112	3001441	davetopper		1075871	TSDivaDani		144163482	@tsdivadani joe biden has been yelling, I think I liked him at the dem debate too, can&apos;t stand the front runners, Hill, Obama, or Edwards	web
jack johnson	20070711140550:jack johnson	tweet	144816372	20070711140550	685313	maique						more than 1GB of jack johnson. am i happy ? you bet!	<a href="http://iconfactory.com/software/twitterrific">twitterrific</a>
ed case	20070711160227:ed case	tweet	144988222	20070711160227	6628632	Oldtowncommons						Rackspace Case Study on Webmail.us /The Webmail Blog/ - Rackspace recently published a case study explaining ... http://tinyurl.com/2x8y87	web
gavin newsom	20070711213848:gavin newsom	tweet	145402872	20070711213848	5848252	hoomantv						Tonight I&apos;m covering the event at the Clift Hotel with Nancy Pelosi, Rosario Dawson and Mayor Gavin Newsom.	web
jim morris	20070712171408:jim morris	tweet	146831712	20070712171408	7233572	lakah						Lakah: New questions about Jim Morrison&apos;s death http://tinyurl.com/2p43wo	<a href="http://twitterfeed.com">twitterfeed</a>
frank black	20070713105053:frank black	tweet	148005992	20070713105053	7425352	naz		6621382	FoxyTunesDJ		147067822	@FoxyTunesDJ: Frank Black and the Catholics - Bullet http://tinyurl.com/24ntn9	web
ron paul	20070713130657:ron paul	tweet	148174502	20070713130657	640893	ewerickson						The fact that Ron Paul sounds like Marvin the Martian in my interview is purely coincidental, I assure you.  Paul also has Illudium 286.	web
t little	20070714123625:t little	tweet	149631842	20070714123625	15023	scottw						Looks like I am going to hit the first milestone (7/16) of the secret little project. hmm...project Z? :).	web
ron paul	20070715213400:ron paul	tweet	151447482	20070715213400	6252812	piannaf						Candidates@Google: Ron Paul http://tinyurl.com/yrfqz3 65minutes of good Q&amp;A	web
john edwards	20070716161707:john edwards	tweet	152644032	20070716161707	6508032	msears1						Reading John Edwards&apos; millions of twitters	web
joel anderson	20070717150428:joel anderson	tweet	154236712	20070717150428	11946	jpinnix						Best suggestion so far from Joel Anderson: Linux Pinnix	<a href="http://iconfactory.com/software/twitterrific">twitterrific</a>
