TextMessage7o9p	67676496	0.26327956	26
myforexambush	91089189	1.2210014	28
24hourFOLLOWERS	98050029	0.3060981	27
LaBonitaPromos	101895933	1.3800728	64
THAJUNCTION	110337348	0.5661646	35
adwords4gurus	29860695	1.3621172	49
NikiL83635	46650957	0.3935573	26
sparkie5150	48764460	3.7728057	44
Message35432181	68025216	0.6747404	68
mls_expert	81407790	0.22427258	19
GETFOLLOWERS5	95536608	0.83284223	38
StfuAndFollow	110259765	0.4305345	43
superdating	26790759	1.3700911	28
trumpnetworkbiz	45362784	1.4662018	34
angelic_love08	72496038	1.1212107	24
AmandaDalasbO	88846488	0.5114501	32
martomwenda	92933103	0.6884788	15
Hash_MySQL	93214227	0.82495916	44
igetUfollowers3	95282700	2.1245382	64
boywannamoney	99935895	1.1040937	14
RealNetworkCash	108073500	0.92343223	37
DelMarPD	23262042	0.2983931	81
debtfreeguy	24461721	2.9885879	36
tizzymae	31626906	2.1334467	55
jacquelineervin	55111191	1.0150032	40
carlcaleb	65384586	0.80565244	25
LiveRealEstate	65653113	0.40755528	27
TextMessage0115	67610151	0.21224518	13
August27i2009	69276660	0.21068168	13
Lisa8a2q	75409803	0.18230614	13
CyberMondayBuys	84622713	0.2334516	17
FOLLOWDA_SWAGG	102459039	0.38674086	16
Trillionaire777	105774387	0.97209597	33
davidspitzman	144150036	0.14300682	9
marcuslorenz	16904352	2.5917563	38
yipvwqtgypjb	53197677	0.26043284	53
B2Binfo	56160822	2.2229054	30
CureForHairLoss	70366989	0.29475	26
twittloandebt	72858117	2.040747	16
ValUNames	83905059	0.2534535	16
AskTheTrain	111764778	0.40023133	47
longblondeqq8	60376341	0.77459806	38
stockmarket1441	83541711	0.59020585	28
TonysNiche	88841457	0.35430205	15
MoneyMakingSite	93193977	0.9498942	28
ChaiTeaClub	98289891	0.13738577	4
followwithme	102485262	1.8679366	31
james31wyatt	115201221	0.6330281	53
sachinweb	24009093	0.82804894	39
LaptopAuctions	28331232	0.8736166	36
FatLossOnlineUK	76053114	0.52163076	16
juliar06	90241668	0.3549536	49
dosdos72	127933431	0.8362603	36
FreeCashGifts	20660256	3.0381432	27
Brandongio	39994371	3.0488696	27
a363BigIncome	52209642	1.0360363	31
AboutHeaven4757	73487970	0.20081049	11
apprenticemlm	76091559	1.0935247	20
Butler_877	82605690	0.14245711	15
getfollowersx	83212854	0.47503078	35
24hrWebTweeter	88250058	1.2763143	21
twitt_secrets	97620288	0.86111104	14
makemoney48	99662427	1.0137668	20
Liqs_4FOLLOWERS	104353014	0.6549573	28
bochedf	119825778	0.31916574	30
FBeverywhere	6578952	0.9518244	59
surferdude000	16621098	0.20238858	72
