tweet	9712812480	20100227035249	5410072	geosteph		33686872	keithsmooth		9712751721	@keithsmooth apparently it is... sigh	web									geosteph
tweet	9712818500	20100227035258	3828371	geeksunny	51267					I find the notion of an elementary school teacher turned porn star just infintely charming.	&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;									geeksunny
tweet	9712840800	20100227035334	29879515	jesskarrr		27008011	melissaWOOF		9712493455	@melissaWOOF when you get on one can you send girl you love to hate to @heyteeahh cos i bought it but on my ipod and its not appearing on &amp;gt;	<a href="http://m.tweete.net/" rel="nofollow">Mobile Tweete</a>									jesskarrr
tweet	9712849601	20100227035347	23543268	jessholla		21636783	EverythinISNice		9712621728	@EverythinISNice U wouldn&apos;t wanna see ur mom with shooting stars all over her neck! Not cute! Lol!!	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>									jessholla
tweet	9712882781	20100227035439	14078718	anderscj	139246	739293	courosa	24580		@courosa @anderscj @dancallahan @jonbecker It&apos;s also unfortunate it aired so close to the case of schools spying on kids at home.	&lt;a href=&quot;http://twitterrific.com&quot; rel=&quot;nofollow&quot;&gt;Twitterrific&lt;/a&gt;									anderscj
tweet	9712887061	20100227035446	14725464	mikecampton	26906806	14397336	victorliew	2063860		@victorliew @jahabarsadiq @mdshaani @apiih @scarlet045 @rararawr @askaaronlee @aidyadnan @interaliase @saadkamal Good morning!	&lt;a href=&quot;http://www.atebits.com/&quot; rel=&quot;nofollow&quot;&gt;Tweetie&lt;/a&gt;									mikecampton
tweet	9712900704	20100227035507	9501812	crazyloud1	1707796					I. Elfing. Love. @johncmayer.	&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;									crazyloud1
tweet	9712903961	20100227035512	22175927	thoughtsofamomy						RT @jeannettekaplun: I&apos;m honored to be part of this proposed session about Latinas, pls vote so we can present at BlogHer http://bit.ly/ ...	web									thoughtsofamomy
tweet	9712924403	20100227035543	14713937	suebrody1		19241200	redsoxnation80		9712885111	@redsoxnation80 #ThankGodForSpringTraining	<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>									suebrody1
tweet	971292770	20081023001641	9499402	digsby		11945862	alexforrow		970693291	@xander7 fixed - will be pushed in the next udpate	web									digsby
